type,breed,color,sex,size,impound_number,kennel_number,id,intake_date,outcome_date,days_in_shelter,intake_type,intake_subtype,outcome_type,outcome_subtype,intake_condition,outcome_condition,intake_jurisdiction,intake_total,date_of_birth,name,zip_code,:@computed_region_dig5_f3vy,outcome_jurisdiction,ano
Dog,Siberian Husky,Black/White,Male,MED,K23-046984,DA21,A422697,2023-12-04,2024-01-08,35,Stray,FLD_STRAY,Euthanize,AGGRESSIVE,UNKNOWN,UNTREATABLE,COUNTY,1,,,,,,2023
Dog,Pit Bull,Gray,Female,MED,K23-046923,DS60,A422443,2023-11-28,2024-01-08,41,Stray,FLD_STRAY,Euthanize,BEH SEVERE,UNKNOWN,UNTREATABLE,SANTA ROSA,1,,,,,,2023
Dog,Germ Shepherd,Tan/Black,Female,LARGE,K23-046766,DS80,A422038,2023-11-11,2024-01-08,58,Stray,FIELD,Euthanize,AGGRESSIVE,UNKNOWN,UNTREATABLE,COUNTY,1,2021-11-11T00:00:00.000,,,,,2023
Dog,Germ Shepherd,Fawn,Spayed,SMALL,K24-047284,DS68,A423685,2024-01-05,2024-01-08,3,Stray,OVER THE COUNTER,Return To Owner,,UNKNOWN,HEALTHY,SANTA ROSA,1,2021-06-08T00:00:00.000,FAUNA,93927,28286,,2024
Dog,Shih Tzu,White,Female,SMALL,K24-048085,DS90,A425655,2024-04-04,2024-04-05,1,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_CALL,UNKNOWN,PENDING,SANTA ROSA,1,2012-04-04T00:00:00.000,WILLOW,95401,26075,SANTA ROSA,2024
Other,Bat,Brown,Unknown,SMALL,K24-048098,TRUCK,A425678,2024-04-05,2024-04-05,0,Quarantine,FIELD,Euthanize,FRA,UNKNOWN,HEALTHY,*PETALUMA,1,,,,,,2024
Dog,Dachshund Lh,Red,Neutered,TOY,K24-047991,DQ107,A299415,2024-03-24,2024-04-05,12,Confiscate,FLD_HOSPTL,Return To Owner,MEDICAL,UNKNOWN,PENDING,SANTA ROSA,1,2012-07-13T00:00:00.000,SASHA,95403,26076,SANTA ROSA,2024
Dog,Dachshund Lh,Brown/Red,Spayed,TOY,K24-047990,DQ107,A299416,2024-03-24,2024-04-05,12,Confiscate,FLD_HOSPTL,Return To Owner,MEDICAL,UNKNOWN,PENDING,SANTA ROSA,1,2012-07-13T00:00:00.000,ROSIE,95403,26076,SANTA ROSA,2024
Dog,Parson Russ Ter/Chihuahua Sh,Cream,Spayed,PUPPY,K23-047083,DA37,A423033,2023-12-12,2024-01-06,25,Owner Surrender,OVER THE COUNTER,Adoption,SCAS WEB,UNKNOWN,HEALTHY,SANTA ROSA,1,2023-09-20T00:00:00.000,*BUFFY,95407,26079,SANTA ROSA,2023
Dog,Siberian Husky,White,Female,MED,K24-047295,DS63,A423708,2024-01-06,2024-01-09,3,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,1,2022-01-06T00:00:00.000,MUNECA,95492,31428,*WINDSOR,2024
Cat,Domestic Sh,Brn Tabby,Neutered,KITTN,K23-047230,CA02,A421310,2023-12-30,2024-01-09,10,Owner Surrender,OVER THE COUNTER,Adoption,WALKIN,HEALTHY,HEALTHY,SANTA ROSA,1,2023-08-17T00:00:00.000,BOOTS,95407,26079,COUNTY,2023
Dog,Schnauzer Min,Black/Gray,Spayed,SMALL,K24-047298,DS93,A324184,2024-01-07,2024-01-09,2,Confiscate,FLD_HOSPTL,Return To Owner,OVER THE COUNTER_NOTICE,UNKNOWN,PENDING,SANTA ROSA,1,2013-02-01T00:00:00.000,SOPHIE,95446,23755,COUNTY,2024
Dog,Pit Bull,Fawn/White,Neutered,MED,K23-045685,DA43,A419574,2023-08-17,2023-12-08,113,Stray,OVER THE COUNTER,Adoption,VOLUNTEER,TREATABLE/MANAGEABLE,HEALTHY,COUNTY,1,2018-08-17T00:00:00.000,*CHIP,95401,26075,SANTA ROSA,2023
Dog,Doberman Pinsch,Black/Tan,Female,LARGE,K24-047758,DS60,A424987,2024-03-06,2024-03-19,13,Confiscate,FLD_ARREST,Return To Owner,OVER THE COUNTER_ARREST,UNKNOWN,PENDING,SANTA ROSA,1,2019-12-21T00:00:00.000,MANDY,95401,26075,COUNTY,2024
Cat,Domestic Sh,Brn Tabby,Male,KITTN,K24-048105,TRUCK,A425690,2024-04-06,2024-04-06,0,Stray,FLD_STRAY,Transfer,PETLUMA PP,UNKNOWN,HEALTHY,SANTA ROSA,1,2024-04-04T00:00:00.000,,94952,11138,*PETALUMA,2024
Cat,Domestic Sh,Brn Tabby,Spayed,SMALL,K23-047160,CA02,A423448,2023-12-19,2024-01-09,21,Stray,OVER THE COUNTER,Adoption,FINDER,HEALTHY,HEALTHY,COUNTY,1,2023-07-19T00:00:00.000,*TERRI,95407,26079,COUNTY,2023
Dog,Siberian Husky,White,Male,MED,K24-047296,DS81,A423709,2024-01-06,2024-01-09,3,Stray,OVER THE COUNTER,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,SANTA ROSA,1,,BUDDY,95492,31428,*WINDSOR,2024
Dog,Siberian Husky,Black/White,Male,MED,K24-047302,DA34,A423717,2024-01-08,2024-01-09,1,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_WEB,UNKNOWN,PENDING,UNKNOWN,1,2015-01-09T00:00:00.000,COCO,95401,26075,SANTA ROSA,2024
Dog,Schnauzer Min/Welsh Terrier,Black/Gray,Spayed,SMALL,K24-047291,DS52,A423699,2024-01-06,2024-01-09,3,Stray,FLD_STRAY,Return To Owner,OVER THE COUNTER_MCHIP,UNKNOWN,PENDING,COUNTY,1,2015-06-16T00:00:00.000,ESPERANZA,94612,1489,OUT OF COUNTY,2024
Other,Rabbit Sh,Black/Brown,Female,SMALL,K24-047538,CS06,A424284,2024-02-07,2024-04-06,59,Stray,FLD_STRAY,Transfer,RP SHELTER,UNKNOWN,HEALTHY,SANTA ROSA,1,2022-03-23T00:00:00.000,*SWEETIE,94928,1829,*ROHNERT PARK,2024
Dog,Germ Shepherd/Mix,White/Black,Spayed,MED,K23-046764,DA05,A422004,2023-11-09,2024-01-09,61,Stray,FLD_STRAY,Adoption,SCAS WEB,HEALTHY,HEALTHY,COUNTY,1,2022-12-14T00:00:00.000,LILA,95472,31039,COUNTY,2023
Cat,Domestic Sh,Black,Male,SMALL,K23-046821,HSSC,A422186,2023-11-16,2023-12-20,34,Stray,EMAIL,Transfer,HSSC,UNKNOWN,HEALTHY,COUNTY,1,,,,,,2023
Dog,Aust Cattle Dog,Gray/Brown,Neutered,MED,K22-041082,DQ110,A410926,2022-04-11,2022-08-09,120,Quarantine,FIELD,Return To Owner,OVER THE COUNTER_PRVS,UNKNOWN,PENDING,SANTA ROSA,1,2021-10-11T00:00:00.000,*GATSBY,95409,26080,COUNTY,2022
